Affected user,Time,User full name,Event context,Component,Event name,Description,IP address,Origin
-,"11 May, 09:44",DuEnWgMN,Folder: Past Exam Papers,Folder,Course module viewed,The user with id 'x' viewed the 'folder' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 09:44",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"11 May, 09:07",DuEnWgMN,File: Sample Exam Paper,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 09:04",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"8 May, 10:01",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"8 May, 09:59",DuEnWgMN,Other,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"8 May, 09:59",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 09:54",DuEnWgMN,Assignment: Group 7 Practical Test,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 09:54",DuEnWgMN,Assignment: Group 7 Practical Test,Assignment,The user has accepted the statement of the submission.,The user with id 'x' has accepted the statement of the submission with id 'x98' for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 09:54",DuEnWgMN,Assignment: Group 7 Practical Test,Assignment,Submission form viewed.,The user with id 'x' viewed their submission for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 09:02",DuEnWgMN,Assignment: Group 7 Practical Test,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 09:02",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 08:57",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 08:41",DuEnWgMN,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 07:52",DuEnWgMN,File: Lecture 7,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 07:50",DuEnWgMN,File: Sample Practical Test,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 07:50",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"23 Mar, 20:27",DuEnWgMN,Forum: News forum,Forum,Discussion viewed,The user with id 'x' has viewed the discussion with id 'x4' in the forum with course module id 'x'.,10.30.0.20,web
-,"23 Mar, 20:24",DuEnWgMN,File: Sample Practical Test,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"23 Mar, 20:24",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"23 Mar, 20:24",DuEnWgMN,Assignment: Late Labs 1 - 4 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"23 Mar, 20:23",DuEnWgMN,Assignment: Late Labs 1 - 4 Upload,Assignment,The user has accepted the statement of the submission.,The user with id 'x' has accepted the statement of the submission with id 'x79' for the assignment with course module id 'x'.,10.30.0.20,web
-,"23 Mar, 20:23",DuEnWgMN,Assignment: Late Labs 1 - 4 Upload,Assignment,Submission form viewed.,The user with id 'x' viewed their submission for the assignment with course module id 'x'.,10.30.0.20,web
-,"23 Mar, 20:23",DuEnWgMN,Assignment: Late Labs 1 - 4 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"23 Mar, 20:20",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 09:30",DuEnWgMN,Quiz: Group 7 MCQ,Quiz,Quiz attempt reviewed,The user with id 'x' has had their attempt with id 'x3' reviewed by the user with id 'x7' for the quiz with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:30",DuEnWgMN,Quiz: Group 7 MCQ,Quiz,Quiz attempt summary viewed,The user with id 'x' has viewed the summary for the attempt with id 'x3' belonging to the user with id 'x7' for the quiz with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:11",DuEnWgMN,Quiz: Group 7 MCQ,Quiz,Quiz attempt viewed,The user with id 'x' has viewed the attempt with id 'x3' belonging to the user with id 'x7' for the quiz with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:10",DuEnWgMN,Quiz: Group 7 MCQ,Quiz,Course module viewed,The user with id 'x' viewed the 'quiz' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:10",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 09:07",DuEnWgMN,File: Lecture 3,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:04",DuEnWgMN,File: Lecture 2,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:02",DuEnWgMN,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 08:57",DuEnWgMN,File: Lab 4 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 08:54",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 08:53",DuEnWgMN,Assignment: Lab 4 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 08:46",DuEnWgMN,File: Arrays Recap Lecture,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 08:24",DuEnWgMN,File: Lecture 4,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 08:23",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"5 Feb, 12:27",DuEnWgMN,Assignment: Lab 2 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"5 Feb, 12:27",DuEnWgMN,Assignment: Lab 2 Upload,Assignment,The user has accepted the statement of the submission.,The user with id 'x' has accepted the statement of the submission with id 'x17' for the assignment with course module id 'x'.,10.30.0.20,web
-,"5 Feb, 12:26",DuEnWgMN,Assignment: Lab 2 Upload,Assignment,Submission form viewed.,The user with id 'x' viewed their submission for the assignment with course module id 'x'.,10.30.0.20,web
-,"5 Feb, 12:26",DuEnWgMN,Assignment: Lab 2 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"5 Feb, 12:26",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"5 Feb, 11:52",DuEnWgMN,File: Lecture 3,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"5 Feb, 11:52",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"30 Jan, 09:37",DuEnWgMN,File: Lab 2 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"30 Jan, 09:37",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"30 Jan, 08:51",DuEnWgMN,File: Lecture 2,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"30 Jan, 08:51",DuEnWgMN,File: Lab 2 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"30 Jan, 08:51",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"22 Jan, 10:02",DuEnWgMN,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"22 Jan, 10:01",DuEnWgMN,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"22 Jan, 10:01",DuEnWgMN,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"22 Jan, 10:00",DuEnWgMN,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"11 May, 19:26",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"11 May, 12:15",R8Tv0hcc,File: Lecture 5,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"11 May, 12:15",R8Tv0hcc,File: Lecture 5,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"11 May, 12:15",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"11 May, 11:39",R8Tv0hcc,File: Lecture 2,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:39",R8Tv0hcc,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:38",R8Tv0hcc,File: Lecture 8,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:38",R8Tv0hcc,File: Lecture 7,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:38",R8Tv0hcc,File: Lecture 6,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:38",R8Tv0hcc,File: Lecture 5,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:37",R8Tv0hcc,File: Lecture 4,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:25",R8Tv0hcc,File: Lecture 5,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:25",R8Tv0hcc,File: Lecture 6,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:24",R8Tv0hcc,File: Lecture 2,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:24",R8Tv0hcc,File: Lecture 3,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:24",R8Tv0hcc,File: Lecture 4,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 11:24",R8Tv0hcc,File: Lecture 5,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:43",R8Tv0hcc,File: Lecture 6,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:43",R8Tv0hcc,File: Lecture 5,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:42",R8Tv0hcc,File: Lecture 4,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:41",R8Tv0hcc,File: Lab 3 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:37",R8Tv0hcc,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:37",R8Tv0hcc,File: Lecture 2,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:37",R8Tv0hcc,File: Lecture 5,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:17",R8Tv0hcc,File: Lecture 3,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:17",R8Tv0hcc,File: Lecture 4,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:16",R8Tv0hcc,File: Lecture 7,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 10:16",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"11 May, 09:51",R8Tv0hcc,Folder: Past Exam Papers,Folder,Course module viewed,The user with id 'x' viewed the 'folder' activity with course module id 'x'.,10.30.0.20,web
-,"11 May, 09:50",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"11 May, 03:41",R8Tv0hcc,File: Sample Exam Paper,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
